,맥주,년,평점
106,Berliner Kindl Jubiläums Pilsener Premium, 2008,2.40625
107,Berliner Kindl Jubiläums Pilsener Premium, 2009,2.7199999999999998
108,Berliner Kindl Jubiläums Pilsener Premium, 2010,2.6999999999999997
109,Berliner Kindl Jubiläums Pilsener Premium, 2011,2.476923076923077
110,Berliner Kindl Jubiläums Pilsener Premium, 2012,2.844
111,Berliner Kindl Jubiläums Pilsener Premium, 2013,2.36
112,Berliner Kindl Jubiläums Pilsener Premium, 2014,2.668
113,Berliner Kindl Jubiläums Pilsener Premium, 2015,2.6518518518518515
114,Berliner Kindl Jubiläums Pilsener Premium, 2016,2.576
115,Berliner Kindl Jubiläums Pilsener Premium, 2017,2.7038461538461536
116,Berliner Kindl Jubiläums Pilsener Premium, 2018,2.715
117,Berliner Kindl Jubiläums Pilsener Premium, 2019,2.7333333333333334
118,Berliner Kindl Jubiläums Pilsener Premium, 2020,2.772727272727273
119,Berliner Kindl Jubiläums Pilsener Premium, 2021,2.8
120,Bintang Pilsener, 2001,2.2333333333333334
121,Bintang Pilsener, 2002,1.96875
122,Bintang Pilsener, 2003,1.8722222222222225
123,Bintang Pilsener, 2004,1.8375000000000001
124,Bintang Pilsener, 2005,2.086666666666667
125,Bintang Pilsener, 2006,1.9083333333333332
126,Bintang Pilsener, 2007,1.8857142857142857
127,Bintang Pilsener, 2008,1.85625
128,Bintang Pilsener, 2009,1.935
129,Bintang Pilsener, 2010,2.081818181818182
130,Bintang Pilsener, 2011,2.1666666666666665
131,Bintang Pilsener, 2012,2.0526315789473686
132,Bintang Pilsener, 2013,2.07
133,Bintang Pilsener, 2014,1.9833333333333332
134,Bintang Pilsener, 2015,2.068
135,Bintang Pilsener, 2016,2.0250000000000004
136,Bintang Pilsener, 2017,2.057377049180328
137,Bintang Pilsener, 2018,2.0844444444444443
138,Bintang Pilsener, 2019,2.4388888888888887
139,Bintang Pilsener, 2020,1.95
140,Budweiser, 2000,1.2347826086956522
141,Budweiser, 2001,1.4881856540084388
142,Budweiser, 2002,1.3986175115207373
143,Budweiser, 2003,1.4824626865671642
144,Budweiser, 2004,1.38
145,Budweiser, 2005,1.442517006802721
146,Budweiser, 2006,1.3241610738255034
147,Budweiser, 2007,1.3340314136125655
148,Budweiser, 2008,1.4865384615384616
149,Budweiser, 2009,1.583710407239819
150,Budweiser, 2010,1.4211678832116788
151,Budweiser, 2011,1.6202380952380953
152,Budweiser, 2012,1.5826086956521739
153,Budweiser, 2013,1.7524663677130046
154,Budweiser, 2014,1.6666666666666667
155,Budweiser, 2015,1.6016949152542372
156,Budweiser, 2016,1.9196261682242992
157,Budweiser, 2017,1.9595041322314048
158,Budweiser, 2018,2.016153846153846
159,Budweiser, 2019,2.0880597014925373
